a,b,stratum,identity,cosine,same_family
A0A140LIT1,Q04868,random,0.1481,0.8134,False
P22816,Q8R1F5,random,0.1605,0.8938,False
Q3TYE7,Q9CPV1,random,0.1546,0.9082,False
P0AEG8,Q9LYY2,random,0.1639,0.8881,False
P08736,Q16048,random,0.0497,0.8469,False
Q96PM5,Q9ZR02,random,0.1429,0.8289,False
P80860,Q5VXD3,random,0.082,0.8555,False
Q09322,Q9CAC7,random,0.1652,0.8976,False
P0CW19,P97457,random,0.1387,0.9295,False
P56802,Q9NYP7,random,0.1197,0.7283,False
G5EEI4,Q9LNH6,random,0.1418,0.8242,False
P06746,P38702,random,0.1835,0.8149,False
Q9SU38,Q9Z2F2,random,0.1072,0.8307,False
Q15738,Q9CAP4,random,0.1508,0.8081,False
A2AKM2,Q9QYI4,random,0.1211,0.9011,False
P52906,Q9BIB4,random,0.1146,0.8769,False
Q80ZU9,Q9CQ94,random,0.1187,0.9027,False
Q8W472,Q9FLY0,random,0.0767,0.7817,False
Q9AST8,Q9FFE8,random,0.1104,0.9043,False
P34697,Q9UHF1,random,0.1527,0.8453,False
P90917,Q7L2H7,random,0.1723,0.8326,False
Q6P6C2,Q8CF02,random,0.0685,0.7889,False
Q1JPW9,Q9SJU4,random,0.1153,0.9176,False
P23453,Q9UHD0,random,0.1265,0.8293,False
P92983,Q05568,random,0.1373,0.9183,False
P57768,Q23175,random,0.1719,0.9641,False
P39145,Q5XVC4,random,0.16,0.8954,False
P31334,Q6DC93,random,0.1688,0.8462,False
Q8AXX2,Q8K087,random,0.1485,0.655,False
A6NFE2,P47180,random,0.1432,0.7198,False
O34870,O48522,random,0.1531,0.763,False
Q1JPP8,Q9SD96,random,0.0797,0.7956,False
Q78XF5,Q90476,random,0.121,0.8847,False
Q8BHE1,Q9CA02,random,0.1462,0.8538,False
Q7ZW11,Q8H185,random,0.0978,0.9318,False
P37572,Q8C627,random,0.1947,0.8345,False
P37769,Q8CAC8,random,0.1423,0.555,False
Q91X51,Q9Y282,random,0.1481,0.8397,False
A6NGS2,Q5XFR0,random,0.1209,0.9319,False
G5EEI4,O62518,random,0.1634,0.7923,False
P94589,Q8IY49,random,0.114,0.877,False
P59022,P93004,random,0.1,0.686,False
P97801,Q9EQC4,random,0.1507,0.7718,False
Q9BTE7,Q9FNP8,random,0.1107,0.9423,False
O45291,P52196,random,0.1256,0.7651,False
P39902,Q5BU39,random,0.1333,0.8841,False
P76103,Q2KHN1,random,0.1225,0.8033,False
O04089,Q9LUJ1,random,0.1469,0.8042,False
A6NMX2,Q3E7T8,random,0.1672,0.1101,False
O88543,Q05195,random,0.1163,0.9255,False
P21274,Q7ZWA3,random,0.1763,0.6415,False
P91416,Q8VDD8,random,0.1011,0.9183,False
P39349,Q969G6,random,0.1242,0.9165,False
P38429,Q8RWM6,random,0.1806,0.9341,False
Q5FWC3,Q9BUR5,random,0.1638,0.9179,False
P07260,Q15695,random,0.1095,0.867,False
Q8VY49,Q9N5K2,random,0.1554,0.947,False
O08691,Q9Z0I6,random,0.172,0.8934,False
O81514,Q6DYE4,random,0.1457,0.9413,False
A0A1W2PR75,Q6NYV5,random,0.1455,0.9536,False
Q61701,Q8WVE6,random,0.1659,0.8347,False
P91343,Q04341,random,0.0797,0.8738,False
Q80VM8,Q9SLE0,random,0.1181,0.8697,False
P0A7R1,Q9FYL3,random,0.1002,0.841,False
Q9BV35,Q9UPQ4,random,0.1737,0.8438,False
O14791,Q96EF9,random,0.1671,0.9368,False
Q502I1,Q86UD3,random,0.1158,0.9642,False
Q7ZW25,Q9FIC9,random,0.133,0.8266,False
Q5F297,Q5PP28,random,0.1509,0.8385,False
Q8T053,Q969G6,random,0.0968,0.898,False
P03987,Q6PCB6,random,0.1626,0.8587,False
P11836,Q9SI09,random,0.1307,0.9493,False
P0DM41,Q9D772,random,0.1102,0.6788,False
P17343,Q9SMP2,random,0.0559,0.7638,False
Q8BPT6,Q9M9S2,random,0.122,0.8602,False
P48776,Q9LEA7,random,0.1274,0.8732,False
O43602,P04769,random,0.1536,0.9332,False
P49813,P54000,random,0.1828,0.9561,False
O35732,Q91392,random,0.1709,0.9557,False
P61578,Q8K3K7,random,0.0857,0.8554,False
P28658,P39810,random,0.1747,0.8151,False
P0AE67,P21765,random,0.1216,0.8096,False
Q3TQB2,Q8VE91,random,0.1691,0.906,False
Q16613,Q33DR3,random,0.1464,0.8913,False
C0SPA3,Q9SD25,random,0.0932,0.8136,False
Q53G44,Q9STY5,random,0.1011,0.9093,False
A6NKQ9,Q9UHJ6,random,0.1192,0.8989,False
Q8RY71,Q9I8V0,random,0.1173,0.1994,False
P77218,Q13113,random,0.1154,0.8519,False
E9PUL5,O95229,random,0.163,0.9224,False
D3Z7Q2,Q86UY6,random,0.0928,0.9136,False
Q6L8H1,Q9CQG0,random,0.0897,0.1913,False
Q1PFA4,Q9R210,random,0.1583,0.9227,False
P23202,Q9CA51,random,0.1045,0.9117,False
P56693,Q3U1J1,random,0.1477,0.9407,False
A2AMM0,Q9NVK5,random,0.1553,0.9554,False
P54356,Q08ED0,random,0.1351,0.9516,False
Q8CHS4,Q9Y2B2,random,0.1558,0.9129,False
P0C895,P36001,random,0.1566,0.8805,False
O35216,P13985,random,0.1696,0.8277,False
Q8VYI9,Q9JM73,random,0.1089,0.8978,False
Q13641,Q38836,random,0.1327,0.817,False
O60861,Q7TSN6,random,0.1549,0.9067,False
Q3ECT8,Q9VCW0,random,0.1588,0.9043,False
P08179,P62748,random,0.1564,0.7703,False
C0H440,O35474,random,0.1175,0.7432,False
P43024,P45757,random,0.1144,0.8555,False
P09372,P14060,random,0.118,0.7673,False
P97443,Q9VZD5,random,0.0935,0.9144,False
Q6UJB9,Q80Y75,random,0.1562,0.887,False
Q19863,Q8RX29,random,0.1276,0.9424,False
P18239,P23359,random,0.1689,0.7163,False
Q4V645,Q9UM13,random,0.129,0.9131,False
P55087,Q9VVA6,random,0.1915,0.8778,False
O61492,Q8IZS7,random,0.0973,0.7887,False
Q61114,Q9D300,random,0.1839,0.9521,False
Q95ZY4,Q96J42,random,0.1509,0.8525,False
P61580,Q9I8P3,random,0.1683,0.867,False
Q9R0M1,Q9SEE9,random,0.1367,0.501,False
Q9FF53,Q9H1K1,random,0.1507,0.8679,False
Q969Z4,Q96A37,random,0.1503,0.8601,False
Q86WR6,Q9LJJ7,random,0.129,0.8697,False
P23435,Q9VR82,random,0.1203,0.8585,False
Q9VYX1,Q9ZNW0,random,0.0797,0.8758,False
A5PLC8,Q9SAZ5,random,0.1218,0.755,False
P49678,Q56WH4,random,0.1383,0.8592,False
P0AFU0,Q12239,random,0.1873,0.8555,False
Q9FLN8,Q9SD42,random,0.1517,0.8914,False
Q502K1,Q5XJP1,random,0.1404,0.8604,False
P76397,Q569H4,random,0.156,0.5267,False
P31362,P49596,random,0.1645,0.8331,False
P0AE08,P46349,random,0.0907,0.7982,False
P41271,Q5H9I0,random,0.1182,0.9238,False
P11588,P79724,random,0.1301,0.8946,False
O49316,Q9Y3T6,random,0.1466,0.8166,False
Q9M3A3,Q9QX98,random,0.125,0.888,False
A8MZ59,P46999,random,0.1584,0.8935,False
Q940L5,Q94A09,random,0.1329,0.9128,False
O17706,O73682,random,0.1152,0.932,False
O81126,P00350,random,0.1301,0.6672,False
P02746,P0AFK0,random,0.1432,0.8192,False
P45767,Q9BWJ5,random,0.0738,0.8565,False
Q5W5X9,Q8GZ84,random,0.1387,0.9491,False
Q6NZ04,Q9NPG2,random,0.1338,0.9588,False
Q058P6,Q8LDB8,random,0.1469,0.9236,False
A0A286YEX9,Q9LM91,random,0.0679,0.5126,False
Q20432,Q8N1E2,random,0.1378,0.8741,False
P17260,Q96BR9,random,0.1464,0.8437,False
O32198,Q9VG74,random,0.1546,0.8854,False
P08066,Q7RTY9,random,0.1376,0.7511,False
P24013,Q3E9T2,random,0.0653,0.8707,False
P39718,Q8W593,random,0.1453,0.8726,False
Q6ZWI9,Q9UIJ5,random,0.1622,0.8858,False
A0A0B4J241,Q9C6V4,random,0.0625,0.7006,False
O17953,P18155,random,0.1888,0.9325,False
Q61151,Q8BWY4,random,0.1378,0.8898,False
Q06137,Q9LF64,random,0.1584,0.914,False
Q06217,Q1L9C7,random,0.1385,0.8746,False
P56544,Q8N6I4,random,0.1515,0.8288,False
P37355,P97953,random,0.1262,0.8097,False
A0A075B734,Q9Z2X2,random,0.1569,0.8066,False
O34838,Q5H9E4,random,0.0847,0.8351,False
P30302,Q921N8,random,0.1739,0.8024,False
Q96QZ0,Q9QXT6,random,0.1323,0.9394,False
A6NFU0,P38356,random,0.1686,0.8761,False
A1L2F6,Q9SZP1,random,0.1478,0.9161,False
P48346,Q9CZG9,random,0.1429,0.8784,False
O00161,Q9FMX7,random,0.1538,0.8261,False
O81641,P0A6E6,random,0.1075,0.8396,False
P34247,Q9M8M6,random,0.1418,0.9109,False
P31131,Q4G0N7,random,0.0914,0.7625,False
Q80ZQ5,Q8AWD1,random,0.1551,0.9419,False
O15263,Q9HBL8,random,0.087,0.8545,False
O82597,Q503V0,random,0.1572,0.8414,False
Q53SZ7,Q9SJ23,random,0.0922,0.7467,False
P36164,Q8BGR8,random,0.1235,0.916,False
Q71SG7,Q8VZ37,random,0.1142,0.9099,False
P38331,Q8L638,random,0.1172,0.8565,False
P34661,Q9Z2Q6,random,0.0863,0.9138,False
Q9EQG7,Q9SA80,random,0.1689,0.8128,False
Q6TLE6,Q9SHD3,random,0.1633,0.872,False
Q27377,Q8JIR0,random,0.1323,0.9135,False
P76445,Q9H209,random,0.1765,0.4484,False
Q9FFS9,Q9LM66,random,0.1553,0.8543,False
A6NGN9,Q12402,random,0.1199,0.7121,False
Q99697,Q99KR7,random,0.1455,0.9095,False
Q8WWH4,Q9H8M7,random,0.1689,0.9578,False
P25696,P32684,random,0.1473,0.8408,False
Q9LFM5,Q9SCS9,random,0.1387,0.8524,False
P0A8Y8,Q03201,random,0.1389,0.794,False
O46098,Q9H1J7,random,0.0975,0.9489,False
O07627,Q9LVD4,random,0.1302,0.6465,False
Q8IH24,Q9BZY9,random,0.1127,0.8963,False
O64503,Q12391,random,0.1674,0.7819,False
P28148,Q9EQS3,random,0.1238,0.9391,False
D5K228,Q9LYY7,random,0.1709,0.9263,False
Q9BYQ4,Q9M2J7,random,0.1273,0.6805,False
Q9VDS6,Q9VGA2,random,0.1134,0.8721,False
G5EGC4,P11588,random,0.1111,0.9458,False
P76161,Q8BUH1,random,0.1294,0.9487,False
Q8L910,Q9D9S3,random,0.1595,0.7538,False
P16691,Q96I25,random,0.104,0.7515,False
P40063,Q8BKT6,random,0.1342,0.8968,False
Q07949,Q8K1T0,random,0.167,0.8882,False
Q8N5C1,Q8N9N2,random,0.1457,0.9345,False
O81045,P80239,random,0.1535,0.8741,False
P06028,Q9SVA1,random,0.0785,0.87,False
P35347,P35461,random,0.1034,0.8316,False
P48539,P61163,random,0.0638,0.7439,False
O34403,P27431,random,0.1704,0.8741,False
Q7Z4H3,Q98877,random,0.1711,0.8367,False
F1R4C4,Q9CQK1,random,0.0968,0.9587,False
P27539,Q9GZV1,random,0.1612,0.841,False
Q09226,Q9FIH5,random,0.1637,0.8507,False
P12314,P24031,random,0.1543,0.7213,False
P49856,Q2V2W7,random,0.1466,0.7197,False
Q9CQK7,Q9D0T7,random,0.1516,0.9354,False
Q20561,Q3U034,random,0.0888,0.9394,False
Q5SY68,Q99LT0,random,0.1478,0.9208,False
P0AE26,Q9SRM9,random,0.1563,0.7996,False
A6NJ69,Q8LGC6,random,0.0622,0.7663,False
P80880,Q9HAB3,random,0.1463,0.6131,False
Q9H741,Q9SP35,random,0.1408,0.8168,False
F4ISE2,O81025,random,0.0559,0.8903,False
Q05639,Q08199,random,0.1683,0.913,False
O22467,Q9CXT8,random,0.1688,0.7771,False
P0AE56,Q04888,random,0.0601,0.8371,False
Q9C6N2,Q9JKT3,random,0.1622,0.8248,False
O23305,Q9LY28,random,0.1446,0.8449,False
P19256,P97426,random,0.1401,0.8693,False
O55208,P03985,random,0.1475,0.8809,False
Q5JRV8,Q86YB8,random,0.1378,0.9477,False
P0ACL5,Q8K021,random,0.1299,0.8444,False
A6NJ69,O14662,random,0.0462,0.7519,False
P26023,Q9D0N8,random,0.1202,0.6516,False
Q0WML3,Q9BYP9,random,0.1484,0.6482,False
B2RXA1,Q9FF53,random,0.1425,0.8666,False
O96033,P76224,random,0.0665,0.819,False
Q80Y75,Q9XZH6,random,0.1266,0.9178,False
Q19821,Q7LFL8,random,0.1538,0.8768,False
P40476,Q03048,random,0.1258,0.9202,False
P62651,Q9VA83,random,0.0793,0.9366,False
O05228,P51413,random,0.1356,0.806,False
Q14032,Q3URK1,random,0.1549,0.9122,False
Q0WQG8,Q9ZW86,random,0.1593,0.8323,False
P59467,Q6PH18,random,0.0977,0.9624,False
P54005,Q9C969,random,0.1643,0.8633,False
P05230,Q9S9P8,random,0.1224,0.89,False
Q6JIY5,Q9SKD0,random,0.1667,0.9561,False
P39325,Q5VTE0,random,0.1765,0.8394,False
Q5JUK9,Q9ZWA1,random,0.0814,0.9184,False
P0A7H0,Q9VZL6,random,0.0896,0.8369,False
Q56Y11,Q9FKK7,random,0.1446,0.8649,False
Q06402,Q9FJR5,random,0.1026,0.8716,False
Q6DYE5,Q9JI81,random,0.1363,0.8459,False
Q9SD07,Q9Z0H4,random,0.1528,0.7462,False
Q96EK9,Q9FNZ2,random,0.141,0.8802,False
P91994,Q9LYK9,random,0.0925,0.8441,False
Q08004,Q9FHH5,random,0.1648,0.947,False
Q13156,Q9VWV8,random,0.1509,0.959,False
P35603,Q9JM73,random,0.1442,0.8867,False
Q18428,Q53T59,random,0.1592,0.8556,False
P58550,Q9Y6U7,random,0.069,0.9145,False
P39376,Q9LUJ1,random,0.1726,0.8203,False
F4J078,Q94ID2,random,0.1027,0.9225,False
F1Q575,P38842,random,0.1462,0.8776,False
Q6DGT7,Q9C991,random,0.1461,0.8415,False
P10984,Q8NA23,random,0.1514,0.6433,False
A0A0B4J244,Q8R0K4,random,0.0959,0.7225,False
P75989,Q9SAB4,random,0.1293,0.8692,False
P0AFK4,Q61711,random,0.1328,0.6287,False
O34861,Q17424,random,0.1027,0.8102,False
O80765,P70343,random,0.1841,0.9058,False
Q4VXA5,Q5FC64,random,0.1648,0.9542,False
Q9LE63,Q9VTY6,random,0.1246,0.9109,False
O23100,Q9ZUR7,random,0.149,0.8383,False
Q9HB14,Q9LT47,random,0.1686,0.8678,False
Q3U132,Q6NMD6,random,0.0786,0.9244,False
P0A8T1,P75830,random,0.1711,0.7775,False
P0ACI6,Q17569,random,0.1337,0.8457,False
P39325,Q9C8Y6,random,0.1599,0.6605,False
A0A1B0GVM5,Q9VT52,random,0.125,0.9206,False
P91535,Q8MKJ4,random,0.1124,0.9326,False
P47873,Q30KN4,random,0.1,0.8758,False
P10795,P10922,random,0.1298,0.6872,False
P0AFM6,P42001,random,0.1372,0.8241,False
P42771,Q9W4Z4,random,0.1677,0.7887,False
P03980,P91622,random,0.0969,0.7544,False
O96020,P36544,random,0.1747,0.8567,False
P24011,Q940N9,random,0.1434,0.7884,False
P39119,P43117,random,0.1553,0.8819,False
P14621,Q03591,random,0.0906,0.7921,False
P32781,Q0WV96,random,0.0816,0.9407,False
P14097,Q794W0,random,0.0681,0.8482,False
Q2TAL5,Q9SMM5,random,0.1316,0.8453,False
Q9C8M0,Q9JJR9,random,0.159,0.9244,False
P49637,Q9SQG2,random,0.1069,0.841,False
P34167,Q27580,random,0.1527,0.7656,False
Q80UQ2,Q9S7G2,random,0.1765,0.9326,False
F4I5N6,Q5SPP0,random,0.1339,0.8842,False
Q91VU1,Q9LK24,random,0.1552,0.9354,False
P61088,Q9Y6I8,random,0.1327,0.9496,False
Q0WML3,Q9Y6I0,random,0.1491,0.8757,False
O07560,Q9Z0S3,random,0.1343,0.7727,False
O16202,Q86UD7,random,0.1329,0.8773,False
Q18446,Q9VHS8,random,0.1028,0.8906,False
P24186,Q9P032,random,0.1356,0.8017,False
P57081,Q91V81,random,0.1777,0.8419,False
P30281,Q5SUV1,random,0.1626,0.8772,False
P15532,Q12379,random,0.1554,0.9209,False
P0ABD3,Q9HDD0,random,0.1622,0.8695,False
P22333,P27828,random,0.1814,0.8559,False
P76613,Q0VB26,random,0.125,0.9391,False
O06965,P75942,random,0.175,0.8242,False
P01729,Q9D600,random,0.123,0.7974,False
O80460,P29383,random,0.0814,0.9114,False
Q06217,Q8SXT3,random,0.0878,0.8521,False
Q0WWX5,Q6NKS1,random,0.1724,0.8716,False
Q38894,Q8VXY4,random,0.1538,0.8206,False
Q7Z4M0,Q9VWF4,random,0.1684,0.9224,False
P01898,Q92670,random,0.1562,0.9179,False
Q29Q28,Q8W2F3,random,0.1335,0.8409,False
P32463,Q9VHI7,random,0.1132,0.8259,False
Q8LED3,Q9ZV52,random,0.0922,0.8349,False
O17699,Q15084,random,0.1308,0.8188,False
Q504H8,Q9VII1,random,0.1111,0.8968,False
O95992,Q9FJ87,random,0.14,0.7899,False
O95278,Q5MNV8,random,0.1457,0.9178,False
P0A6G7,P39581,random,0.1287,0.8749,False
Q6PD99,Q6UY27,random,0.129,0.5798,False
P57738,Q96FN9,random,0.2164,0.9646,False
P58334,Q64302,random,0.1389,0.7785,False
P53549,Q569E4,random,0.1616,0.8749,False
P54129,Q9UH03,random,0.1349,0.9144,False
P61857,Q5BJJ6,random,0.1738,0.8637,False
O23299,P35318,random,0.1462,0.8503,False
P10030,Q9LHJ8,random,0.1077,0.8931,False
Q9BQB6,Q9ZVF3,random,0.1404,0.8395,False
P51637,Q64302,random,0.1596,0.9512,False
P00360,Q64475,random,0.1051,0.9365,False
P17542,Q9DCH2,random,0.1235,0.8925,False
Q61477,Q9M122,random,0.1481,0.9121,False
P0A998,P31446,random,0.1547,0.788,False
Q93244,Q9LH88,random,0.087,0.8305,False
O49647,Q9Z0M9,random,0.1474,0.8065,False
P20863,Q9P1U1,random,0.1441,0.754,False
P0AE37,Q6P1R4,random,0.1639,0.9165,False
P48772,P54005,random,0.0714,0.9065,False
P04925,Q9SUD4,random,0.152,0.8324,False
O35885,Q940G6,random,0.1408,0.8373,False
P80873,Q9R061,random,0.1483,0.7703,False
O06965,P0A6U5,random,0.1947,0.7681,False
P39376,P50715,random,0.0891,0.8058,False
Q93YQ3,Q9P032,random,0.1339,0.9477,False
A0A8M3AJY3,O01393,random,0.1375,0.9203,False
P45858,Q4PSY2,random,0.1609,0.843,False
O06995,Q84W04,random,0.1261,0.7702,False
P41991,Q9XI19,random,0.1531,0.9067,False
Q3E944,Q9U1H8,random,0.1493,0.828,False
P13714,Q9LJR2,random,0.1488,0.8033,False
P23591,P94360,random,0.1832,0.8934,False
P03985,P43674,random,0.1343,0.7701,False
Q3SXZ7,Q5VSE6,random,0.1568,0.9254,False
Q9LVD9,Q9VKD6,random,0.1336,0.7274,False
Q9D4W2,Q9XZT6,random,0.1642,0.9254,False
Q5VSE6,Q9FMI7,random,0.1512,0.9226,False
O70172,Q02819,random,0.1622,0.8952,False
Q95ZS0,Q9C540,random,0.1498,0.8679,False
O80927,P50734,random,0.1469,0.9084,False
Q84X07,Q9S7T5,random,0.1466,0.9306,False
Q8VZN1,Q94981,random,0.1506,0.304,False
Q86VK4,Q96EQ0,random,0.1297,0.8845,False
